batter,season,oaa
606115,2022,-3
571448,2022,14
668227,2022,-2
650333,2022,-5
624414,2022,-5
640492,2022,7
668731,2022,0
664056,2022,6
676480,2022,-2
605137,2022,-4
641355,2022,6
474832,2022,-3
643217,2022,-1
542932,2022,4
605141,2022,3
666182,2022,-7
624415,2022,7
593428,2022,5
664761,2022,-8
598265,2022,7
608324,2022,8
681146,2022,0
664913,2022,-7
595879,2022,1
594777,2022,-1
600869,2022,-5
592192,2022,-2
666185,2022,3
592206,2022,-8
660636,2022,-2
605612,2022,-12
666801,2022,-4
650489,2022,0
665482,2022,1
644374,2022,3
656305,2022,2
656308,2022,-5
665862,2022,3
596847,2022,2
614173,2022,-9
621043,2022,-3
543063,2022,7
641487,2022,-11
543068,2022,1
630105,2022,2
665833,2022,-9
666915,2022,-1
602074,2022,-2
650559,2022,-3
657557,2022,5
646240,2022,-2
518626,2022,5
680977,2022,-4
641531,2022,-6
592273,2022,1
643289,2022,7
622110,2022,-2
677649,2022,-1
680776,2022,-3
594807,2022,5
649557,2022,3
650490,2022,-7
669242,2022,19
641553,2022,3
500871,2022,-6
669289,2022,8
642731,2022,1
571657,2022,-1
664058,2022,8
527038,2022,-3
664034,2022,-5
596748,2022,-3
677551,2022,1
624428,2022,6
518692,2022,2
608336,2022,-3
592325,2022,-6
671277,2022,-13
666969,2022,1
541645,2022,-1
544725,2022,1
665926,2022,13
502671,2022,-5
660757,2022,-5
670768,2022,-5
624503,2022,-1
669357,2022,-11
682985,2022,1
544369,2022,-5
545341,2022,-2
663757,2022,16
543257,2022,0
665489,2022,-3
641645,2022,6
666971,2022,-2
493329,2022,-8
641658,2022,0
664023,2022,2
671739,2022,6
543281,2022,2
663647,2022,18
669720,2022,-4
628450,2022,-5
514917,2022,-4
571771,2022,2
606192,2022,-3
543305,2022,0
663538,2022,13
656555,2022,-8
543333,2022,-1
578428,2022,-1
663697,2022,-10
664728,2022,12
656582,2022,-3
592450,2022,3
643393,2022,2
596146,2022,11
673490,2022,8
643396,2022,-4
680757,2022,9
657656,2022,-5
518934,2022,9
596019,2022,11
446334,2022,1
670032,2022,14
664040,2022,-4
663993,2022,-10
666158,2022,2
592518,2022,9
605353,2022,-5
663611,2022,2
622534,2022,1
669016,2022,6
606466,2022,-3
516782,2022,-1
686681,2022,-4
622761,2022,10
664983,2022,-1
676801,2022,9
656716,2022,2
641857,2022,10
643446,2022,7
593160,2022,5
680911,2022,6
669304,2022,-3
660162,2022,4
664238,2022,0
666624,2022,-8
663624,2022,4
656775,2022,10
571970,2022,-4
571976,2022,4
647304,2022,3
641914,2022,-7
621028,2022,-1
607043,2022,6
663457,2022,2
641933,2022,4
596059,2022,-6
621566,2022,4
542364,2022,-1
665506,2022,6
670623,2022,5
592626,2022,-11
444482,2022,6
672695,2022,2
607054,2022,6
665161,2022,7
502054,2022,-5
621433,2022,10
640461,2022,-8
593871,2022,-8
572041,2022,-1
595777,2022,-4
608070,2022,4
592669,2022,-2
650859,2022,-8
622682,2022,-2
668804,2022,-6
608703,2022,-1
663586,2022,-7
663845,2022,-2
656896,2022,3
519203,2022,-3
673357,2022,2
645302,2022,5
663898,2022,3
677594,2022,8
668942,2022,-5
500743,2022,11
642708,2022,-10
467793,2022,3
623993,2022,-4
570731,2022,27
656941,2022,-12
608369,2022,4
516416,2022,3
543760,2022,8
669222,2022,-1
657757,2022,-4
642350,2022,15
596103,2022,1
669701,2022,1
675656,2022,3
624641,2022,10
665742,2022,-15
543807,2022,0
596115,2022,10
